Platform,Year,Genre,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Type
DS,2008,Action,40000,0,0,0,portable
Wii,2009,Action,170000,0,0,10000,console
PSP,2010,Adventure,0,0,20000,0,portable
DS,2010,Misc,40000,0,0,0,portable
PS3,2010,Platform,120000,90000,0,40000,console
DS,2005,Sports,0,0,140000,0,portable
PC,2011,Simulation,20000,10000,0,0,pc
PSP,2005,Action,70000,0,110000,10000,portable
PS3,2007,Adventure,0,0,40000,0,console
PS3,2011,Action,40000,30000,0,10000,console
PS,2001,Racing,480000,330000,0,60000,console
GBA,2003,Simulation,140000,50000,0,0,portable
PC,2008,Role-Playing,0,20000,0,0,pc
DS,2005,Puzzle,20000,0,0,0,portable
DS,2006,Role-Playing,0,0,20000,0,portable
PS3,2009,Action,140000,160000,0,60000,console
PC,2003,Strategy,10000,20000,0,10000,pc
PS3,2014,Sports,0,0,30000,0,console
PS4,2015,Role-Playing,20000,0,30000,0,console
PC,2009,Strategy,0,20000,0,0,pc
PS2,2002,Platform,570000,450000,0,150000,console
PS,1997,Simulation,60000,40000,0,10000,console
XB,2005,Sports,80000,20000,0,0,console
X360,2014,Sports,0,10000,0,0,console
PS3,2013,Fighting,480000,530000,10000,230000,console
GC,2002,Platform,20000,10000,0,0,console
PS,1996,Racing,30000,20000,0,0,console
PC,2011,Shooter,0,230000,0,60000,pc
GBA,2004,Platform,0,0,80000,0,portable
PS,2000,Racing,140000,100000,0,20000,console
DS,2011,Misc,50000,0,0,0,portable
X360,2006,Shooter,120000,10000,20000,10000,console
3DS,2015,Misc,0,0,10000,0,portable
PS2,2004,Platform,290000,220000,0,80000,console
Wii,2009,Action,190000,200000,0,50000,console
DS,2005,Strategy,300000,30000,40000,30000,portable
2600,1984,Racing,260000,10000,0,0,console
Wii,2008,Action,110000,10000,0,10000,console
XB,2006,Sports,180000,50000,0,10000,console
PS,2000,Role-Playing,300000,200000,300000,60000,console
PC,2004,Strategy,0,20000,0,10000,pc
DS,2007,Adventure,330000,50000,250000,40000,portable
DS,2008,Action,0,0,50000,0,portable
X360,2013,Shooter,510000,330000,10000,80000,console
PS3,2015,Action,60000,80000,160000,30000,console
SAT,1998,Sports,0,0,120000,0,console
PS2,2002,Sports,60000,50000,0,20000,console
PS3,2008,Action,130000,20000,0,20000,console
X360,2009,Racing,140000,90000,0,20000,console
Wii,2009,Action,180000,0,0,10000,console
GB,2001,Platform,0,0,70000,0,portable
PS3,2009,Simulation,340000,260000,0,100000,console
DS,2009,Misc,50000,0,0,0,portable
Wii,2010,Misc,250000,70000,0,30000,console
PS4,2016,Racing,0,40000,0,10000,console
DS,2010,Misc,0,0,30000,0,portable
Wii,2010,Sports,410000,110000,0,40000,console
NES,1985,Puzzle,180000,0,850000,0,console
PS2,2006,Sports,20000,20000,0,10000,console
X360,2008,Shooter,250000,170000,10000,50000,console
X360,2010,Role-Playing,130000,100000,40000,20000,console
Wii,2011,Action,80000,40000,0,10000,console
GBA,2004,Shooter,10000,0,0,0,portable
DC,1998,Fighting,0,0,370000,0,console
DS,2011,Platform,520000,60000,410000,50000,portable
XB,2004,Misc,40000,10000,0,0,console
PS4,2014,Adventure,80000,140000,0,50000,console
PC,2010,Action,180000,0,0,10000,pc
N64,1999,Strategy,220000,50000,0,0,console
DS,2007,Action,30000,10000,0,0,portable
XOne,2015,Shooter,80000,70000,0,10000,console
XB,2003,Action,220000,60000,0,10000,console
PC,2009,Strategy,10000,120000,0,30000,pc
PS3,2010,Sports,80000,0,0,10000,console
NES,1985,Platform,0,0,510000,0,console
PS,2000,Platform,350000,240000,0,40000,console
DS,2007,Puzzle,100000,0,0,10000,portable
Wii,2008,Racing,0,0,10000,0,console
GBA,2005,Action,80000,30000,0,0,portable
PS,1997,Action,100000,70000,0,10000,console
PS,1997,Strategy,0,0,140000,10000,console
GC,2003,Platform,190000,50000,0,10000,console
N64,2000,Fighting,130000,30000,0,0,console
PS2,2003,Action,170000,130000,0,40000,console
SNES,1995,Role-Playing,0,0,890000,0,console
XB,2005,Action,80000,20000,0,0,console
PS3,2010,Action,130000,210000,0,80000,console
PS,1999,Platform,220000,150000,0,30000,console
PSP,2010,Shooter,70000,20000,0,20000,portable
PSP,2005,Platform,170000,0,0,10000,portable
Wii,2011,Action,670000,300000,0,100000,console
PS3,2014,Adventure,50000,40000,0,20000,console
PC,2003,Racing,0,40000,0,10000,pc
N64,1998,Shooter,70000,20000,0,0,console
Wii,2011,Platform,20000,0,0,0,console
N64,2001,Sports,590000,160000,0,10000,console
Wii,2010,Shooter,360000,210000,10000,60000,console
SNES,1993,Role-Playing,0,0,1170000,0,console
3DS,2014,Action,0,0,80000,0,portable
Wii,2009,Adventure,180000,0,0,10000,console
PS2,2002,Strategy,0,0,130000,0,console
XB,2004,Misc,50000,20000,0,0,console
DS,2005,Misc,210000,0,20000,20000,portable
XB,2007,Sports,60000,20000,0,0,console
XB,2005,Sports,190000,50000,0,10000,console
PS2,2000,Sports,1190000,70000,50000,200000,console
PS3,2016,Adventure,0,0,120000,0,console
PSP,2012,Action,0,0,20000,0,portable
PSP,2007,Sports,10000,90000,0,10000,portable
PS,1996,Sports,0,0,10000,0,console
DS,2005,Puzzle,40000,0,0,0,portable
PS2,2006,Shooter,40000,30000,0,10000,console
PC,2014,Role-Playing,0,30000,0,0,pc
DS,2008,Role-Playing,40000,0,0,0,portable
PS4,2016,Sports,0,0,170000,0,console
GC,2004,Action,30000,10000,0,0,console
PSP,2006,Role-Playing,0,0,30000,0,portable
DS,2007,Role-Playing,0,0,40000,0,portable
PS,1999,Simulation,70000,50000,130000,20000,console
X360,2007,Shooter,5910000,2380000,130000,900000,console
GC,2003,Misc,40000,10000,0,0,console
PS3,2012,Adventure,0,0,20000,0,console
DS,2009,Adventure,0,20000,0,0,portable
PS3,2011,Fighting,1980000,550000,0,320000,console
PS,1998,Racing,40000,30000,0,0,console
PS2,2007,Fighting,0,0,10000,0,console
DS,2010,Simulation,20000,10000,0,0,portable
DS,2009,Racing,130000,20000,0,10000,portable
PC,2007,Shooter,0,1120000,0,30000,pc
PS4,2014,Misc,0,10000,0,0,console
